pred.score,reference,prediction
0.75,Yes,Yes
0.07,No,No
0.1,No,No
0.22,No,No
0.18,No,No
0.09,No,No
0.05,No,No
0.01,No,No
0.12,No,No
0.15,No,No
0.18,No,No
0.2,No,No
0.6,Yes,Yes
0.24,No,No
0.16,No,No
0.04,No,No
0.11,No,No
0.16,Yes,No
0.17,No,No
0.73,Yes,Yes
0.05,No,No
0.12,No,No
0.07,No,No
0.14,No,No
0.1,No,No
0.06,No,No
0.63,Yes,Yes
0.47,Yes,No
0.02,No,No
0.68,Yes,Yes
0.18,No,No
0.19,No,No
0.04,No,No
0.21,No,No
0.1,No,No
0.74,Yes,Yes
0.12,No,No
0.01,No,No
0.12,No,No
0.33,No,No
0.32,No,No
0.1,No,No
0.37,Yes,No
0.3,Yes,No
0.32,No,No
0.24,No,No
0.01,No,No
0.08,No,No
0.03,No,No
0.21,No,No
0.07,No,No
0.09,No,No
0.1,No,No
0.04,No,No
0.04,No,No
0.02,No,No
0.35,Yes,No
0.01,No,No
0.32,No,No
0,No,No
0.04,No,No
0,No,No
0.15,No,No
0.1,No,No
0.05,No,No
0.16,No,No
0.2,No,No
0.06,No,No
0.05,No,No
0.11,No,No
0,No,No
0.16,No,No
0,No,No
0.11,Yes,No
0.04,No,No
0.18,No,No
0.09,No,No
0.09,No,No
0.18,No,No
0.02,No,No
0.26,No,No
0.07,No,No
0.1,No,No
0.54,Yes,Yes
0.09,No,No
0.14,No,No
0.38,Yes,No
0.07,No,No
0.15,No,No
0.2,No,No
0.01,No,No
0.06,No,No
0,No,No
0.01,No,No
0.09,No,No
0.1,No,No
0.02,No,No
0.07,No,No
0.7,Yes,Yes
0.16,No,No
0.86,Yes,Yes
0.17,No,No
0.33,Yes,No
0.63,Yes,Yes
0.07,No,No
0.08,No,No
0.16,No,No
0.01,No,No
0.81,Yes,Yes
0.01,No,No
0.1,No,No
0.15,Yes,No
0.08,No,No
0.28,No,No
0.31,Yes,No
0.18,No,No
0.16,No,No
0.07,No,No
0.11,No,No
0.01,No,No
0.01,No,No
0.06,No,No
0.15,No,No
0.01,No,No
0.05,No,No
0.01,No,No
0.13,No,No
0.01,No,No
0.04,No,No
0.22,No,No
0.14,No,No
0.08,No,No
0.46,No,No
0.11,No,No
0.04,No,No
0.03,No,No
0.13,No,No
0.34,No,No
0.42,Yes,No
0.18,No,No
0.03,No,No
0.04,No,No
0.07,No,No
0.05,No,No
0.78,Yes,Yes
0.29,No,No
0.21,No,No
0.1,No,No
0.12,No,No
0.45,Yes,No
0.09,No,No
0.11,No,No
0.02,No,No
0,No,No
0.06,No,No
0.01,No,No
0.08,No,No
0.2,No,No
0.16,No,No
0.07,No,No
0.12,No,No
0.07,No,No
0.14,No,No
0.2,No,No
0.06,No,No
0.33,No,No
0.25,No,No
0.8,Yes,Yes
0.11,Yes,No
0.1,No,No
0.04,No,No
0.04,No,No
0.64,Yes,Yes
0.01,No,No
0.02,No,No
0.03,No,No
0.3,Yes,No
0.2,Yes,No
0.09,Yes,No
0.11,No,No
0.01,No,No
0.12,No,No
0.19,No,No
0.08,No,No
0.09,No,No
0.13,No,No
0.07,No,No
0.09,No,No
0.12,No,No
0,No,No
0.81,Yes,Yes
0.07,No,No
0.27,No,No
0,No,No
0.03,No,No
0.68,Yes,Yes
0.09,No,No
0.69,Yes,Yes
0.1,No,No
0.05,No,No
0.25,No,No
0,No,No
0.07,No,No
0.03,No,No
0.01,No,No
0.06,No,No
0.64,Yes,Yes
0.02,No,No
0.07,No,No
0.2,No,No
0.04,No,No
0.02,No,No
0.07,No,No
0.05,No,No
0.06,No,No
0.09,No,No
0.02,No,No
0.07,No,No
0.24,Yes,No
0.12,No,No
0.03,No,No
0.04,No,No
0.01,No,No
0.1,No,No
0.07,No,No
0.08,Yes,No
0.03,No,No
0.09,No,No
0.05,No,No
0.19,No,No
0.05,No,No
0.06,No,No
0.07,No,No
0.04,No,No
0.15,No,No
0.09,No,No
0.02,No,No
0.1,No,No
0.15,No,No
0.14,No,No
0,No,No
0.85,Yes,Yes
0.01,No,No
0.05,No,No
0.01,No,No
0.22,No,No
0.19,No,No
0.12,No,No
0.02,No,No
0,No,No
0.03,No,No
